week,away,home,away_score,home_score,model_away,model_home,spread,total,winner_correct,ats_correct,ou_correct
7,LAR,JAX,35,7,25.1,23,3.5,47.5,true,,
7,NE,TEN,31,13,10.5,15.9,1.5,44.5,false,,
7,LV,KC,0,31,17.2,30.1,-9.5,45.5,true,,
7,PHI,MIN,28,22,31.2,33.6,3,44.5,false,,
7,NO,CHI,14,26,21.9,23.8,-7.5,44.5,true,,
7,MIA,CLE,6,31,28.2,20.1,1.5,43.5,false,,
7,CAR,NYJ,13,6,17.2,19.8,-1.5,43.5,false,,
7,IND,LAC,38,24,21.9,29.2,-6,45.5,false,,
7,NYG,DEN,32,33,17.6,23.8,-7.5,42.5,true,,
7,GB,ARI,27,23,26,23.1,2.5,47.5,true,,
7,WAS,DAL,22,44,25.9,28.5,3,48.5,true,,
7,ATL,SF,10,20,28.8,32.3,-6.5,47.5,true,,
7,TB,DET,9,24,25.6,36.1,-3.5,49.5,true,,
7,HOU,SEA,19,27,27.9,27.3,-1.5,44.5,false,,
8,MIN,LAC,10,37,30.3,31.5,-3,44.5,true,,
8,SF,HOU,15,26,29.7,33.6,1.5,45.5,true,,
8,BUF,CAR,40,9,29.7,20,7,47.5,true,,
8,MIA,ATL,34,10,27.3,28.2,-1.5,46.5,false,,
8,NYJ,CIN,39,38,20,32,-7.5,45.5,false,,
8,CHI,BAL,16,30,23.6,34.2,-7,48.5,true,,
8,CLE,NE,13,32,16.3,17.2,-5.5,42.5,true,,
8,NYG,PHI,20,38,17.5,30.4,-10.5,43.5,true,,
8,TB,NO,23,3,24.5,25.6,5.5,45.5,false,,
8,DAL,DEN,24,44,28.5,27.2,-5.5,45.5,false,,
8,TEN,IND,14,38,14.6,20.5,-3.5,44.5,true,,
8,GB,PIT,35,25,29.9,26.6,2.5,44.5,true,,
8,WAS,KC,7,28,26.5,32.3,-3.5,48.5,true,,
9,BAL,MIA,28,6,31.4,31.5,5.5,47.5,false,,
9,DEN,HOU,18,15,23.5,33.2,1.5,45.5,false,,
9,CAR,GB,16,13,15.6,26.1,-7.5,45.5,false,,
9,LAC,TEN,27,20,24.7,19,4.5,44.5,true,,
9,CHI,CIN,47,42,20.5,29.1,-3,48.5,false,,
9,MIN,DET,27,24,30.2,36.8,-4.5,47.5,false,,
9,ATL,NE,23,24,24.4,16.2,-3,44.5,false,,
9,SF,NYG,34,24,27.5,20.5,3.5,44.5,true,,
9,IND,PIT,20,27,23.3,24.9,-3.5,44.5,true,,
9,JAX,LV,30,29,16.6,15.8,-1.5,45.5,true,,
9,NO,LAR,10,34,23.5,29.1,-9.5,44.5,true,,
9,KC,BUF,21,28,33.1,38,-2.5,48.5,true,,
9,SEA,WAS,38,14,23.8,26,-5.5,47.5,false,,
9,ARI,DAL,27,17,21.2,27.8,-1.5,47.5,false,,
10,LV,DEN,7,10,16.9,22.9,-6.5,43.5,true,,
10,ATL,IND,25,31,25.6,23.7,1.5,44.5,false,,
10,NYG,CHI,20,24,15.3,22.2,-5.5,43.5,true,,
10,BAL,MIN,27,19,33.6,33.9,3.5,46.5,false,,
10,JAX,HOU,29,36,19.7,29.6,-3.5,45.5,true,,
10,NE,TB,28,23,14.1,25.1,-4.5,46.5,false,,
10,NO,CAR,17,7,18.6,17,-4.5,43.5,true,,
10,CLE,NYJ,20,27,20.8,24.8,-2.5,40.5,true,,
10,BUF,MIA,13,30,32.6,32.1,5.5,48.5,false,,
10,ARI,SEA,22,44,18.8,25.6,-1.5,45.5,true,,
10,LAR,SF,42,26,29.1,33,-1.5,46.5,false,,
10,DET,WAS,44,22,32.2,27.8,-1.5,49.5,true,,
10,PIT,LAC,10,25,24.3,32.6,-4.5,43.5,true,,
10,PHI,GB,10,7,30.6,31.7,1.5,45.5,false,,
11,NYJ,NE,14,27,18.9,18.2,-5.5,42.5,false,,
11,WAS,MIA,13,16,23.6,28.8,4.5,48.5,true,,
11,HOU,TEN,16,13,25.9,18.3,3,43.5,true,,
11,CHI,MIN,19,17,23,31.3,-2.5,45.5,false,,
11,CIN,PIT,12,34,29.6,24.7,1.5,46.5,false,,
11,LAC,JAX,6,35,25.9,22.9,1.5,46.5,false,,
11,CAR,ATL,30,27,15.2,25.2,-3,45.5,false,,
11,TB,BUF,32,44,27.4,36.6,-5.5,49.5,true,,
11,GB,NYG,27,20,25.5,19.1,4.5,43.5,true,,
11,SEA,LAR,19,21,25.6,28.4,-4.5,45.5,true,,
11,SF,ARI,41,22,28,24.5,1.5,47.5,true,,
11,KC,DEN,19,22,32.3,27.8,1.5,45.5,false,,
11,BAL,CLE,23,16,33.5,22.9,8.5,44.5,true,,
11,DET,PHI,9,16,34.7,33.2,-3.5,47.5,false,,
11,DAL,LV,33,16,23.9,19.1,1.5,45.5,true,,
