player_display_name,player_name,position,recent_team,season,games,data_source,receiving_yards,receptions,targets,receiving_tds,receiving_epa,target_share,air_yards_share,wopr,catchRate,aDOT,yacPerRec,rushing_yards,carries,rushing_tds,rushing_epa,ypc,passing_yards,attempts,completions,passing_tds,passing_interceptions,passing_epa
Gerald Everett,G.Everett,TE,CHI,2025,10,reg_2024_baseline,36,8,13,0,-1.47307917772559,0.0247148288973384,0.0077194530216144,0.0424758604611377,0.6153846153846154,,,0,0,0,,,0,0,0,0,0,
Joe Mixon,J.Mixon,RB,HOU,2025,14,reg_2024_baseline,309,36,52,1,3.02448383917376,0.0950639853747715,-0.0058027079303675,0.1385340825109,0.6923076923076923,,,1016,245,11,-15.1157628042949,4.146938775510204,0,1,0,0,0,-0.726145962660667
D'Onta Foreman,D.Foreman,RB,CLE,2025,10,reg_2024_baseline,54,6,8,0,0.839785054675303,0.0126182965299685,0.0001942124684404,0.019063393522861,0.75,,,232,71,0,-24.1594711056096,3.267605633802817,0,0,0,0,0,
Jamaal Williams,Ja.Williams,RB,NO,2025,14,reg_2024_baseline,57,9,11,0,-0.272160402189942,0.0212765957446809,-0.0031602708803611,0.0297027040007685,0.8181818181818182,,,164,48,1,-9.67190718204231,3.4166666666666665,0,0,0,0,0,
Jeff Wilson,J.Wilson,RB,MIA,2025,7,reg_2024_baseline,19,3,3,0,0.541619452880696,0.005281690140845,0.0,0.0079225352112676,1.0,,,57,16,0,-4.62643494537559,3.5625,0,0,0,0,0,
Tim Boyle,T.Boyle,QB,NYG,2025,3,reg_2024_baseline,0,0,0,0,,0.0,0.0,0.0,,,,9,3,0,0.649375770881306,3.0,276,50,27,1,1,-14.4879114205251
Gus Edwards,G.Edwards,RB,LAC,2025,11,reg_2024_baseline,6,3,5,0,-3.10106393648312,0.010183299389002,-0.0034380013752005,0.0128683481208627,0.6,,,365,101,4,-14.0711244798961,3.613861386138614,0,0,0,0,0,
Mike Boone,M.Boone,RB,CAR,2025,5,reg_2024_baseline,-2,1,3,0,-3.89994317345554,0.0057915057915057,-0.0031362007168458,0.0064919181854665,0.3333333333333333,,,51,13,0,-0.974716876691673,3.923076923076923,0,0,0,0,0,
Anthony Miller,A.Miller,WR,BAL,2025,1,reg_2024_baseline,16,1,1,0,2.18093416257761,0.0021881838074398,0.0036040365209034,0.0058051012757921,1.0,,,0,0,0,,,0,0,0,0,0,
Jordan Akins,J.Akins,TE,CLE,2025,16,reg_2024_baseline,390,40,58,2,10.9935598225873,0.0914826498422713,0.0677801514857254,0.184670080803415,0.6896551724137931,,,0,0,0,,,0,0,0,0,0,
Mike White,M.White,QB,BUF,2025,1,reg_2024_baseline,0,0,0,0,,0.0,0.0,0.0,,,,0,0,0,,,28,11,3,0,0,-7.15286629885668
Brandon Powell,B.Powell,WR,MIN,2025,16,reg_2024_baseline,71,7,10,0,5.09451138135046,0.0193423597678917,0.0220540540540541,0.0444513774896754,0.7,,,0,0,0,,,0,0,0,0,0,
DJ Chark,D.Chark,WR,LAC,2025,4,reg_2024_baseline,31,4,10,1,-4.06241325882729,0.0203665987780041,0.0263580105432042,0.0490005055472491,0.4,,,0,0,0,,,0,0,0,0,0,
John Kelly,J.Kelly,RB,BAL,2025,1,reg_2024_baseline,0,0,0,0,,0.0,0.0,0.0,,,,0,0,0,,,0,0,0,0,0,
Hayden Hurst,H.Hurst,TE,LAC,2025,7,reg_2024_baseline,73,8,13,0,-4.84155694558285,0.0264765784114053,0.0142104056841623,0.0496621515960215,0.6153846153846154,,,0,0,0,,,0,0,0,0,0,
Alexander Mattison,A.Mattison,RB,LV,2025,14,reg_2024_baseline,294,36,48,1,-6.27723881433321,0.0810810810810811,-0.0008978675645342,0.120993114326448,0.75,,,420,132,4,-30.7859976790078,3.1818181818181817,0,0,0,0,0,
Khari Blasingame,K.Blasingame,RB,CHI,2025,2,reg_2024_baseline,0,0,0,0,,0.0,0.0,0.0,,,,0,0,0,,,0,0,0,0,0,
Cody Thompson,C.Thompson,WR,TB,2025,1,reg_2024_baseline,0,0,0,0,,0.0,0.0,0.0,,,,0,0,0,,,0,0,0,0,0,
Deonte Harty,D.Harty,WR,BAL,2025,5,reg_2024_baseline,0,0,0,0,,0.0,0.0,0.0,,,,0,0,0,,,0,0,0,0,0,
Diontae Johnson,Di.Johnson,WR,HOU,2025,11,reg_2024_baseline,375,33,67,3,-17.9822035165581,0.129343629343629,0.163754480286738,0.308643580216161,0.4925373134328358,,,6,2,0,2.03888299223036,3.0,0,0,0,0,0,
Trenton Irwin,T.Irwin,WR,CIN,2025,6,reg_2024_baseline,15,3,10,0,-6.57105825309387,0.0159235668789809,0.0134373645426961,0.0332915054983586,0.3,,,0,0,0,,,0,0,0,0,0,
Joseph Fortson,J.Fortson,TE,KC,2025,3,reg_2024_baseline,5,1,3,0,-5.66721887071617,0.0052447552447552,0.001050972149238,0.0086028133715995,0.3333333333333333,,,0,0,0,,,0,0,0,0,0,
JaMycal Hasty,J.Hasty,RB,NE,2025,12,reg_2024_baseline,59,10,12,1,0.58483846305171,0.024,-0.0005209690023443,0.035635321698359,0.8333333333333334,,,69,20,0,-1.01269370431382,3.45,0,0,0,0,0,
